group,mean_onset_time_sec,mean_transition_strength,mean_participation_dim,mean_corr_dim,mean_determinism
Grid,0.571401346153846,1.17323410882668,2.30898726745463,1.76908442775459,0.640884909423061
Cing,0.424216333333333,0.924855257227247,2.25878534677844,1.91404974944484,0.555352860775672
AH,0.394196333333333,1.04122920920064,2.09526483635006,1.68711681897373,0.575752444117716
PH,0.5367705,0.919450887260761,2.09380873773019,1.7184491964711,0.554222821299753
BO,0.549274833333333,1.32047352815028,2.27935238366227,1.74668781599843,0.683727711764359
