channel,mean_tau,mean_radius,mean_anisotropy,mean_participation_dim,mean_corr_dim,mean_lyap_proxy,mean_recurrence_rate,mean_determinism,mean_sample_entropy,candidate_onset_time_sec,transition_strength
G1,13.0588235294118,1.39865764740486,5.02417781007465,2.3641361391903,1.74756436897391,10.8395296776268,0.0919179398487902,0.633254133471132,1.36654808301279,0.649332666666667,0.940438862612037
G2,12.8823529411765,1.38979705218158,5.91965579476196,2.32895881105544,1.77544188258072,11.5647773879756,0.0919389953499159,0.680103384676918,1.27162624642521,0.89945,0.930084402537807
G3,12.5882352941176,1.28002844613909,5.16525608376102,2.33281588277975,1.79902349965643,10.0080032897001,0.0919110768466252,0.607994277246003,1.41542575620052,0.749366666666667,1.29274818430826
G4,14.3235294117647,1.26097584356062,4.93881883554624,2.32092724134155,1.85469582492456,8.47342370888114,0.0916592764100598,0.554188969833622,1.3913038839612,0.849433333333333,1.06725706266589
G5,13.6176470588235,1.31589918595874,4.14765591926298,2.35052461054604,1.82664377667165,14.1202682451917,0.0917887310134477,0.594422359343276,1.40421793635279,0.549266,1.99350094905152
G6,11.7941176470588,1.378397546828,4.37735602639131,2.37444478123177,1.72256638904504,17.4604960326568,0.092063666092814,0.679986730334468,1.30965042102983,0.549266,0.687976008556426
G7,12.5588235294118,1.27970051562595,5.96242392650657,2.27019879679171,1.85225772434777,11.4033922487264,0.0919154199285365,0.585837534204533,1.44123554471577,0.1991,1.17558226706492
G8,8.73529411764706,1.2338820268964,3.84369639492236,2.3032141920677,1.99777353282343,14.9833893532853,0.0923427891851542,0.506473694573173,1.76592665241327,0.249133333333333,1.27933368605922
G9,16.5,1.13835280883935,7.84425935773987,2.16202278107699,1.578468486166,16.8243410065829,0.091406748938592,0.740346476894125,1.00915363635373,0.549266,1.19312037217284
G10,14.1470588235294,1.31910748834077,4.98712874379269,2.32192003980369,1.77745988817757,13.0408440565507,0.0917493189527545,0.667321209717266,1.30365753950312,0.349166666666667,1.51079295655695
G11,12.1470588235294,1.21701283750071,7.28908022199276,2.32258141788106,1.84361694297772,7.66387181740249,0.0919971748472957,0.508316240922105,1.51037687525998,0.349166666666667,1.82536604957282
G12,11.9117647058824,1.38907939285019,7.92835877750429,2.2867347866359,1.89640449278245,11.7103355242414,0.0920229359227185,0.523758532083636,1.57447000776487,1.34966666666667,2.13967117474803
G13,12.2941176470588,1.33473608176398,5.49953806342091,2.37348506509387,1.71029480118759,14.8302452354696,0.091987466746347,0.657201315988558,1.26027765521265,0.599299333333333,1.41671760014029
G14,11.0588235294118,1.37839707839456,4.83380763646398,2.4262456333163,1.71532889654346,17.7293402128138,0.0921792210366091,0.731299548469472,1.14005587709658,0.599299333333333,2.40718396826439
G15,12.2647058823529,1.4012074315679,4.4299302428658,2.39506529409751,1.79458727435971,18.5190558135397,0.091968012578677,0.678176558505302,1.28780110886203,0.249133333333333,1.47894916412378
G16,15.6176470588235,1.00144452165507,24.6169286254807,2.02823427019446,1.66640836653637,11.8707634408509,0.0914171587032725,0.572328674267399,1.29175949224218,0.249133333333333,1.20886403076407
G17,14.6470588235294,1.43921143884064,8.1271387446625,2.22066484256538,1.6512353920036,17.7952287799661,0.0916929935180204,0.814131918381481,0.985745789786343,0.599299333333333,0.916793898863396
G18,12.8823529411765,1.25251883305021,6.5022559718628,2.2931820050662,1.72573649228228,12.5331518722498,0.0918877518263997,0.671792043458974,1.19909400328979,0.69935,1.29245471300981
G19,11.2352941176471,1.21362784205406,8.17039742207882,2.3003376066472,1.79053364993719,16.6504064927051,0.0921103768165378,0.566421767212818,1.44754757918352,0.249133333333333,0.777043375522228
G20,13.1470588235294,1.26318808171588,5.61829090018903,2.29439659796558,1.75005894663364,13.1472464853306,0.091857219438484,0.661529627098739,1.27611424459142,0.749366666666667,1.19610465966995
G21,11.3823529411765,1.30725257727245,4.15895721253635,2.41889218573423,1.81682581114917,11.8877903357369,0.0921037820354842,0.690442186248609,1.30290464231238,0.499249333333333,1.00499235102213
G22,11.3529411764706,1.44467616994585,5.52028613607437,2.35797814431598,1.63957166736013,16.5163611975181,0.092131267064068,0.784943526580993,1.04267096919676,0.249133333333333,1.32899614926776
G23,11.3823529411765,1.25379617770846,9.44096225991013,2.29893092211819,1.70992545288821,13.2267792993467,0.092095153175726,0.720731698033283,1.08575331660775,0.449232666666667,0.972586312048996
G24,11.3235294117647,1.26075131699537,4.06111052893609,2.4142458682948,1.93512863622814,12.735945211403,0.0920850457073651,0.587517980374525,1.40739512878098,0.1991,0.912187960541773
G25,13.4705882352941,1.41190851657578,7.40159121284878,2.27320957789599,1.5648905524196,14.3241382693637,0.0918582764370929,0.762860735360609,0.979496911864382,1.14956666666667,1.03911617034453
G26,15.3529411764706,1.35108785285449,4.97169609608858,2.28582213848472,1.73203239710733,16.8008318894674,0.0915828674108748,0.695039005005466,1.15965611193619,0.29915,1.41291704085888
G27,13.1470588235294,1.19086031843355,9.37275612820577,2.31093349101976,1.7573553632232,15.5254834524946,0.0918520261131828,0.59074492027316,1.3111555832714,1.49975,1.23336337361368
G28,13.4117647058824,1.24629389017622,5.30000601241368,2.34311321816519,1.73198914141723,17.6670005040565,0.0918241269779825,0.650354293177551,1.31472254274616,0.89945,0.998691098870361
G29,13.2352941176471,1.43792255168262,4.75691103386295,2.38012383704715,1.77010274963518,15.1209955608038,0.0918660563625398,0.701861008793982,1.1804206443228,0.499249333333333,0.81883479775108
G30,13.0588235294118,1.33290723920333,15.9354724736098,2.17885917712312,1.53092170645222,14.0559616959861,0.0918978224111967,0.777141525217966,0.983988921555405,0.1991,0.957659298412412
G31,13.0882352941176,1.2302801611708,15.8867298758246,2.16786679498906,1.60461908986227,12.8888123174625,0.0918863372284086,0.770721036247354,1.01789061717715,0.1991,1.29050762261706
G32,9.61764705882353,1.23136174782753,3.05253070751376,2.48846299770126,2.0540660337556,12.981606660841,0.092305857599963,0.535547021705443,1.69072352751998,1.24963333333333,1.38279936618142
G33,12.9117647058824,1.35987312252353,5.81902487337884,2.33667223273027,1.7250561974753,13.3033799842332,0.0919269963656636,0.680710043749767,1.20279863749877,0.69935,0.836371118030889
G34,13.2941176470588,1.25520607089308,6.39721343822185,2.29642244741573,1.85879939953434,14.6702090690022,0.0918563852571449,0.66911394168142,1.35549102509885,0.749366666666667,1.29401642090811
G35,13.3529411764706,1.06286104911811,4.68791605037778,2.32383062046281,1.81761385277539,16.9603299061971,0.0917994192220667,0.552870523733452,1.41867638402494,0.69935,0.981584088038229
G36,13.4705882352941,1.34336223428735,5.40629694728721,2.32211391107571,1.68807083534716,10.5777938308342,0.0918599382858331,0.722795229913552,1.17180977530979,0.1991,1.56172289898951
G37,13.8823529411765,1.35297875450516,7.08017271368884,2.25495063212613,1.51354771518959,13.2853035656138,0.0918029785908518,0.737049042866515,1.02747150720703,0.399199333333333,1.49867279484006
G38,13.7941176470588,1.1872436958551,6.41553530566727,2.25523805470078,1.52486108126695,17.4465018969565,0.0917860625742147,0.764532479196575,0.880393677815539,0.849433333333333,1.46075787248469
G39,13.1470588235294,1.17510414299638,6.68758372866063,2.24241022258303,1.75739365890353,12.5522411592893,0.0918844482184691,0.665440176924139,1.22944016068812,0.69935,0.943177760791939
G40,10.0882352941176,1.32312625400753,3.07049270801592,2.46043296688946,2.01250563905751,11.5824960963472,0.0922503256474011,0.523400986002929,1.71042932036894,0.249133333333333,0.967304698130992
G41,15.5588235294118,1.39084947297125,5.07150995359731,2.3080882660288,1.66672948779789,15.069569011399,0.0915545943740576,0.733615218108096,1.1327470701378,0.399199333333333,1.04664620393309
G42,14.0882352941176,1.12974731573444,8.40247569769809,2.21666227347237,1.75153786460472,13.6912041204582,0.0916923513835899,0.545685552995896,1.41004801130108,1.1996,0.985671412113283
G43,12.4705882352941,1.01472532182825,6.41847834028211,2.34495172130526,1.82370608197041,15.5023365248955,0.0918789606794555,0.532222778847384,1.44878922600668,0.549266,0.671005704400201
G44,14.0882352941176,1.32874640870075,5.13538282004424,2.32701312786184,1.73100688454753,8.04890891516181,0.0917658950012786,0.641800287965536,1.3016299889628,0.599299333333333,1.13150102854149
G45,13.1764705882353,1.34977708540787,5.91135974792624,2.29749139136374,1.56874794896288,10.92564596209,0.0919049559020357,0.700629114878053,1.10456467919172,0.499249333333333,0.694299724253584
G46,12.3529411764706,1.33228473208617,5.70551207817271,2.32612382056291,1.6517980683479,11.7417602642798,0.0920084060367816,0.699200858000106,1.16670604589208,0.499249333333333,1.52416236678594
G47,12.6764705882353,1.31459916405646,4.77103160761233,2.37497221336173,1.83400853671668,9.99697299606004,0.0919369033184659,0.554905856224226,1.49333755633734,0.549266,0.841626499042125
G48,9.41176470588235,1.19691778347396,3.52577495573666,2.35629347034884,2.08727876285224,11.9739634953457,0.0922279052384396,0.4778418221069,1.6996896397534,0.499249333333333,0.787597110999454
CG1,7.97058823529412,1.17474554403596,7.50912152540624,2.20537941290712,1.99901792719319,16.423374141745,0.0923836256830541,0.548149356618204,1.76795881585018,0.249133333333333,1.1683983949732
CG2,10.4117647058824,1.30484982975393,7.04071109802039,2.24258592038166,1.87255125322347,13.7947047833277,0.0921425801123649,0.528633074155542,1.58271434008128,0.249133333333333,0.964835505986109
CG3,13.3529411764706,1.31508736827508,5.24831957555325,2.27738437744343,1.81159711051008,9.07075355401008,0.0917955501996231,0.538655987670209,1.36571915105499,0.599299333333333,0.677907579473814
CG4,8.61764705882353,1.20535979105453,4.92060486023067,2.30979167638155,1.97303270685263,21.4833549032171,0.0922983669781252,0.605973024658732,1.81605494938333,0.599299333333333,0.888279548475864
