channel,candidate_onset_time_sec,transition_strength
G36,0.1991,1.56172289898951
G31,0.1991,1.29050762261706
G7,0.1991,1.17558226706492
BO2,0.1991,1.11583144867279
BO4,0.1991,1.07786092555415
G30,0.1991,0.957659298412412
G24,0.1991,0.912187960541773
AH6,0.1991,0.786481125769477
AH2,0.249133333333333,1.52394921935077
G15,0.249133333333333,1.47894916412378
AH3,0.249133333333333,1.46258481237266
PH2,0.249133333333333,1.41758573351982
G22,0.249133333333333,1.32899614926776
G8,0.249133333333333,1.27933368605922
G16,0.249133333333333,1.20886403076407
CG1,0.249133333333333,1.1683983949732
G40,0.249133333333333,0.967304698130992
CG2,0.249133333333333,0.964835505986109
G19,0.249133333333333,0.777043375522228
G26,0.29915,1.41291704085888
G11,0.349166666666667,1.82536604957282
G10,0.349166666666667,1.51079295655695
AH4,0.349166666666667,1.16085289384816
AH8,0.349166666666667,1.04610577253736
G37,0.399199333333333,1.49867279484006
G41,0.399199333333333,1.04664620393309
AH9,0.399199333333333,0.854328393350601
G23,0.449232666666667,0.972586312048996
G46,0.499249333333333,1.52416236678594
AH1,0.499249333333333,1.06489990043135
G21,0.499249333333333,1.00499235102213
AH7,0.499249333333333,0.907256161423381
G29,0.499249333333333,0.81883479775108
G48,0.499249333333333,0.787597110999454
G45,0.499249333333333,0.694299724253584
G5,0.549266,1.99350094905152
G9,0.549266,1.19312037217284
G47,0.549266,0.841626499042125
G6,0.549266,0.687976008556426
G43,0.549266,0.671005704400201
AH10,0.549266,0.566823809571958
G14,0.599299333333333,2.40718396826439
BO1,0.599299333333333,1.45045551896115
G13,0.599299333333333,1.41671760014029
G44,0.599299333333333,1.13150102854149
AH5,0.599299333333333,1.03901000335065
PH3,0.599299333333333,0.93179369218518
G17,0.599299333333333,0.916793898863396
CG4,0.599299333333333,0.888279548475864
PH1,0.599299333333333,0.70712650181856
CG3,0.599299333333333,0.677907579473814
G1,0.649332666666667,0.940438862612037
G18,0.69935,1.29245471300981
G35,0.69935,0.981584088038229
G39,0.69935,0.943177760791939
G33,0.69935,0.836371118030889
PH4,0.69935,0.621297621519484
G34,0.749366666666667,1.29401642090811
G3,0.749366666666667,1.29274818430826
G20,0.749366666666667,1.19610465966995
G38,0.849433333333333,1.46075787248469
G4,0.849433333333333,1.06725706266589
G28,0.89945,0.998691098870361
G2,0.89945,0.930084402537807
G25,1.14956666666667,1.03911617034453
BO3,1.1996,1.63774621941304
G42,1.1996,0.985671412113283
G32,1.24963333333333,1.38279936618142
G12,1.34966666666667,2.13967117474803
G27,1.49975,1.23336337361368
