time_center_sec,channel,tau,radius,anisotropy,participation_dim,corr_dim,lyap_proxy,recurrence_rate,determinism,sample_entropy
0.149066666666667,G1,15,1.80019866176847,6.61348359197256,2.29517845867788,1.50858065325596,26.4137742907792,0.0916666666666667,0.727272727272727,1.19127111915081
0.149066666666667,G2,14,1.85581422368933,6.26818910725801,2.29568131451129,1.49719279867883,28.604034928089,0.0917764041924214,0.821376281112738,0.980829253011726
0.149066666666667,G3,10,0.998546339233488,3.68945102992699,2.47108725757827,1.90971859009885,-7.27471739540558,0.0923076923076923,0.533333333333333,1.74808440572539
0.149066666666667,G4,12,1.31382077914581,7.86454342505161,2.20223174983276,1.58714155067094,6.31460709203286,0.0920886873267826,0.522571819425445,1.27858366811711
0.149066666666667,G5,15,1.25428575626157,3.24934299965365,2.42499416482927,1.83363101605558,17.7325739801875,0.0916666666666667,0.589393939393939,1.26649316130727
0.149066666666667,G6,18,1.65930281791497,4.4690935241069,2.42283870706233,1.5892905829848,21.7366955797245,0.0912588488765774,0.804384485666105,1.11154907969883
0.149066666666667,G7,16,2.06276883062342,3.77370687261591,2.49337670746832,1.52457308030912,14.3891394663621,0.0914966963516231,0.766091051805338,0.992452092839719
0.149066666666667,G8,15,1.80874743638888,3.78960999877511,2.3981056049771,1.94262298377933,16.0328402046942,0.0916666666666667,0.604545454545454,1.1646557009851
0.149066666666667,G9,23,1.31603160587355,6.61264251914742,1.6628519365408,1.39041758118538,5.15644798202284,0.0904215976331361,0.752556237218814,0.647630341735482
0.149066666666667,G10,18,1.15869297084241,4.93594430570994,1.87054282374317,2.02019740319644,22.6609618132156,0.0912588488765774,0.716694772344013,1.25025355688994
0.149066666666667,G11,10,1.1054038364358,2.75251166012816,2.63747283219946,2.22061408565603,4.05050718450421,0.0923076923076923,0.453846153846154,1.35812348415319
0.149066666666667,G12,10,1.1625084166868,2.34954475331213,2.66081130294739,2.15378532602869,0.953341894015089,0.0923076923076923,0.442307692307692,1.90095876119305
0.149066666666667,G13,13,0.889978997486283,4.42010627994023,2.07755939383783,2.01191314586937,22.5913499770424,0.0919614984391259,0.442715700141443,1.36498457453314
0.149066666666667,G14,10,0.981872040539487,2.8219606448518,2.39420274540354,1.9979757932504,10.6721453916859,0.0923076923076923,0.547435897435897,1.42927618369358
0.149066666666667,G15,18,1.52353656487603,4.04440361861799,2.41668448580505,1.70522241710766,20.5447234825835,0.0912588488765774,0.75885328836425,1.26268040515271
0.149066666666667,G16,1,2.87318402740939,217.883828622748,1.01972154132768,0.778802619740919,34.3808569675401,0.0932249817384952,0.918707149853085,0.465468474080344
0.149066666666667,G17,15,1.36351813844887,8.32531116983771,2.23633078763664,1.46963167796121,22.0137920114047,0.0916666666666667,0.810606060606061,1.1842677332466
0.149066666666667,G18,18,1.28753594761943,3.42602332136704,2.51186880847388,1.7350501045742,9.08139103110286,0.0912588488765774,0.768971332209106,1.25882359310706
0.149066666666667,G19,10,1.1615911262982,4.19053767105746,2.35397266513852,1.98856481997384,20.4564213646006,0.0923076923076923,0.567948717948718,1.27854149982344
